source	target
Lotos Exploration and Production Norge AS er operatør med ein 25 prosent del.	Lotos Exploration and Production Norge AS is the operator with an ownership interest of 25 per cent.
Primært letemål med brønn 30/11-9 A var å påvise petroleum i midtre jura reservoarbergarter (Tarbertformasjonen).	The primary exploration target for well 30/11-9 A was to prove petroleum in Middle Jurassic reservoir rocks (the Tarbert formation).
Øvrige rettighetshavere er PA Resources Norway AS med en eierandel på 30 prosent, Norwegian Energy Company ASA med en eierandel på 15 prosent og Revus Energy ASA med en eierandel på 15 prosent.	Other licensees are PA Resources Norway AS with an ownership interest of 30%, Norwegian Energy Company ASA with an ownership interest of 15% and Revus Energy ASA with an ownership interest of 15%.
Statoil har boret 11 letebrønner, og er den operatøren som har boret mest.	Statoil has drilled 11 exploration wells, making it the operator to have drilled the largest number of wells.
Brønnen er boret på en egen struktur like vest for undersøkelsesbrønn 30/11-8 S, der det ble gjort et oljefunn i mai i år.	The well was drilled on a separate structure just west of wildcat well 30/11-8 S, where an oil discovery was made during May of this year.
Rettshavarane ynskjer å bygge ut Aasta Hansteen med eit flytande feltsenter, ei såkalla Spar-innretning.	The licensees want to develop Aasta Hansteen with a floating field centre, a so-called Spar facility.
Arealet i dette løyvet består av blokkene 7219/9, 7220/4, 7220/5, 7220/7 og 7220/8.	The area in this licence consists of the blocks 7219/9, 7220/4, 7220/5, 7220/7 and 7220/8.
I utvinningstillatelse 433 fant Centrica hydrokarboner med letebrønn 6506/9-2 (Fogelberg, nord i Åsgardområdet).	In production licence 433, Centrica found hydrocarbons with exploration well 6506/9-2 (Fogelberg, north in the Åsgard area).
Brønn 30/11-8 S ligg om lag 20 kilometer sørvest for Oseberg Sør-feltet i Nordsjøen.	Well 30/11-8 S is located about 20 kilometres southwest of the Oseberg Sør field in the North Sea.
Brønnen er boret omlag 15 kilometer nordvest for Nornefeltet.	The well was drilled about 15 kilometres northwest of the Norne field.
Skisse av standen til OD og OED, som er nummer 810 i Hall 8.	Sketch showing the NPD and MPE’s stand, which is number 810 in Hall 8.
Av dette er om lag 35,4 MSm3 o.e olje, om lag 9,0 MSm3 o.e NGL og kondensat, og det er selt om lag 46,8 MSm3 o.e gass.	(MSm3 o.e.), broken down as follows: about 35.4 MSm3 o.e. of oil, about 9.0 MSm3 o.e. of NGL and condensate and about 46.8 MSm3 o.e. of gas for sale.
Diskos-databasen ble etablert i 1995, som en fellesløsning på denne utfordringen.	This challenge is one of the reasons why the Diskos Database was established in 1995 as a joint solution for seismic data in Norway.
Rettighetshaverne anser området som viktig med hensyn til dreneringsstrategien for funnet.	The licensees consider the area to be important with regard to the drainage strategy for the discovery.
Estimerte utvinnbare ressurser fra funnet er om lag 18 milliarder standard kubikkmeter gass.	Estimated recoverable resources from the discovery are about 18 billion standard cubic metres of gas.
«ODs frigivningskomite, som består av fire geologer, vurderer søknader hver uke, også hvor mye materiale søkeren skal få.	"The NPD's sample release committee, which consists of four geologists, considers applications each week, including how much material the applicant will receive.
Også forskningsprosjektet som skal studere skremmeeffekt av seismikk på fisk, går som planlagt.	The research project designed to study the startle response of seismic surveys on fish is also proceeding according to plan.
Det andre nivået har til sammen rundt 40 meter brutto oljekolonne i paleocen sandsteinslag (Heimdalformasjonen) med vekslende reservoarkvalitet.	The other level has a total of about 40 gross metres of oil column in Paleocene sandstone strata (the Heimdal formation) with variable reservoir quality.
En slik rigg kan brukes på flere felt med havbunnsbrønner.	This type of rig can be used on multiple fields with subsea wells.
I søknaden om forlengelse viser operatøren Statoil til at innretningen kan drives lønnsomt fram til 2031, med mulighet for forlengelse ved ytterligere modning av IOR-prosjekter og andre tiltak.	In the application for extension, the operator Statoil notes that the facility can be operated profitably up to 2031, and possibly even longer with further maturation of IOR projects and other measures.
Havdypet er 359 meter.	The water depth is 359 metres.
Da direktoratet gjennomgikk en omfattende organisasjonsendring i 2001, ble hun en av fire toppledere.	When the Directorate underwent a significant organisational change in 2001, she became one of four senior managers.
Utvinningsløyve 248 vart delt ut 4. juni 1999 (Nordsjøtildelingene 1999).	Production licence 248 was awarded on 4 June 1999 (North Sea Awards 1999).
I slutten av uke 25 drar representanter fra OD til Lofoten og Vesterålen for å informere medlemmene i Norges Fiskarlag og Norges Kystfiskerlag om seismikkinnsamlingen.	At the end of Week 25, representatives from the NPD will travel to Lofoten and Vesterålen to inform the members of the Norwegian Fishermen's Association and the Norwegian Coastal Fishermen's Association about the seismic data acquisition activity.
Nyeste teknologiplattformer for enklere vedlikehold og utvidelse	Latest technology platforms for easier maintenance and expansion
Dette er den første letebrønnen i utvinningstillatelse 330.	This is the first exploration well in production licence 330.
Foreløpig beregning av størrelsen på funnet er mellom 2 og 3 milliarder standardkubikkmeter (Sm3) utvinnbar gass.	Preliminary estimates place the size of the discovery between 2 and 3 billion standard cubic metres (Sm3) of recoverable gas.
Det merkes at folk har vært på kurs, de har fått bedre forståelse for sin egen rolle, dessuten er kvaliteten på innrapporteringen blitt mye bedre,” kommenterer Stenløkk.	It is noticeable that people have taken a class, they better understand their own role and the quality of reporting has improved significantly,” Stenløkk comments.
21. juni ble det lyst ut 102 blokker i 24. konsesjonsrunde.	On 21 June, 102 blocks were announced in the 24th licensing round.
Dette er den første letebrønnen i utvinningstillatelse 776, som ble tildelt i TFO 2014.	This is the first exploration well in production licence 776, awarded in APA 2014.
Det er sannsynligvis kommunikasjon mellom oljesonene i de to brønnene, og i begge er det blitt utført omfattende datainnsamling og prøvetaking.	Communication probably exists between the oil zones in the two wells, and extensive data acquisition and sampling have been carried out on both wells.
Gjennomsnittleg dagsproduksjon i desember var om lag 2 448 000 fat olje, om lag 322 000 fat NGL og om lag 60 000 fat kondensat.	The average daily production was about 2 448 000 barrels oil, about 322 000 barrels NGL (Natural Gas Liquids) and about 60 000 barrels condensate.
Januar 2010	January 2010
Bauge er et oljefelt nær Njord-feltet og undervannsfeltet Hyme i Norskehavet.	Bauge is an oil field near the Njord field and the Hyme subsea field in the Norwegian Sea.
Brønnen vert bora om lag 20 kilometer sørøst for Sleipner Østfeltet i midtre del av Nordsjøen.	The well will be drilled about 20 kilometres southeast of the Sleipner Øst field in the central part of the North Sea.
Væskeproduksjonen i september fordeler seg slik: 1 472 000 fat olje, 285 000 fat NGL og 76 000 fat kondensat i gjennomsnitt per dag.	The average daily liquid production in September was: 1 472 000 barrels of oil, 285 000 barrels of NGL and 76 000 barrels of condensate.
Brønnen påtraff en 50-60 meter oljekolonne i Realgrunnenundergruppen med reservoaregenskaper som forventet.	The well encountered a 50-60-metre oil column in the Realgrunnen subgroup with reservoir properties as expected.
Både leteaktiviteten og ressurstilveksten har vært klart størst i Nordsjøen, der Johan Sverdrup er den største bidragsyteren til verdiskapingen.	The North Sea has seen the greatest positive contributions in both exploration activity and resource growth, with Johan Sverdrup being the largest contributor to this value creation.
Økt etterspørsel etter olje, særlig i Kina og India, har bidratt til økt etterspørsel og økte priser.	Rising oil consumption, particularly in China and India, has boosted rig demand, leading to an ordering boom for new drilling units of all kinds.
Som forventet var reservoarkvaliteten god.	As expected, the reservoir quality was good.
«Teknologiutvikling er en nøkkel til økt utvinning og forlenget levetid for feltene på norsk sokkel,» sier sjefingeniør Astri Fritsen i Oljedirektoratet.	"Technology development is a key to improved recovery and extended lifetime for fields on the Norwegian shelf," says principal engineer Astri Fritsen of the Norwegian Petroleum Directorate.
